Name,Short Name,Unit Number,Bus Location in WECC240 Model,Bus in full WECC model,Category,Area,State,Maximum Capacity (MW),Heat Rate (MMBtu/MWh),Variable O&M ($/MWh),MaxCap Profile,Minimum Capacity (%),Maint Req (Hrs),Forced Outage Rate (%),Alternate Name,,
SundncGT7,SundncGT,7,HOOVER   20 {1331},14996_SUN G7,CT Small,APS,Arizona,58.7,9.38,5.001,12% Summer Deration,45,336,4.08,,,
SundncGT8,SundncGT,8,HOOVER   20 {1331},14997_SUN G8,CT Small,APS,Arizona,58.7,9.38,5.001,12% Summer Deration,45,336,4.08,,,
SundncGT9,SundncGT,9,HOOVER   20 {1331},14998_SUN G9,CT Small,APS,Arizona,60,9.38,5.001,12% Summer Deration,45,336,4.08,,,
SundncGT10,SundncGT,10,HOOVER   20 {1331},14999_SUN G10,CT Small,APS,Arizona,60,9.38,5.001,12% Summer Deration,45,336,4.08,,,
DesrtBasST1,DesrtBas,10,PALOVRD2  20 {1431},15142_DBG-ST1,CC Frame F,SRP,Arizona,616,7.42,2,6.9% Summer Deration,29,504,7.15,Desert Basin ST  Casa Grande CA,,
ArlngtnST1,ArlngtnS,1,PALOVRD2  20 {1431},15147_ARL-ST1,CC Frame F,SRP,Arizona,679,7.25,2,6.9% Summer Deration,27,504,7.15,Arlington Valley ST1,,
HarquaST1,HarquaST,1,PALOVRD2  20 {1431},15158_HGC-ST1,CC Frame F,SRP,Arizona,378,7.15,2,6.9% Summer Deration,63,504,7.15,,,
HarquaST2,HarquaST,2,PALOVRD2  20 {1431},15160_HGC-ST2,CC Frame F,SRP,Arizona,378,7.15,2,6.9% Summer Deration,63,504,7.15,,,
HarquaST3,HarquaST,3,PALOVRD2  20 {1431},15162_HGC-ST3,CC Frame F,SRP,Arizona,378,7.15,2,6.9% Summer Deration,63,504,7.15,,,
MesquitST1,MesquitS,1,PALOVRD2  20 {1431},15166_MES-ST1,CC Frame F,SRP,Arizona,677,7.39,2,6.9% Summer Deration,27,504,7.15,,,
MesquitST2,MesquitS,2,PALOVRD2  20 {1431},15169_MES-ST2,CC Frame F,SRP,Arizona,677,7.39,2,6.9% Summer Deration,27,504,7.15,,,
AguaFria1,AguaFria,1,PALOVRD2  20 {1431},15901_AGUAFR 1,Steam Large Old,SRP,Arizona,113,9.98,5.001,2.7% Summer Deration,8,672,9.14,Agua Fria 1  Glendale AZ,,
AguaFria2,AguaFria,2,PALOVRD2  20 {1431},15902_AGUAFR 2,Steam Large Old,SRP,Arizona,113,10.1,5.001,2.7% Summer Deration,8,672,9.14,Agua Fria 2  Glendale AZ,,
AguaFria3,AguaFria,3,PALOVRD2  20 {1431},15903_AGUAFR 3,Steam Large Recent,SRP,Arizona,181,10.16,3.001,2.7% Summer Deration,17,672,9.14,Agua Fria 3  Glendale AZ,,
AguaFria4,AguaFria,4,PALOVRD2  20 {1431},15904_AGUAFR 4,CT Old Gas,SRP,Arizona,66,12.47,8.001,12% Summer Deration,30,336,4.08,Agua Fria 4  Glendale AZ,,
AguaFria5,AguaFria,5,PALOVRD2  20 {1431},15905_AGUAFR 5,CT Old Gas,SRP,Arizona,66,12.47,8.001,12% Summer Deration,30,336,4.08,Agua Fria 5  Glendale AZ,,
AguaFria6,AguaFria,6,PALOVRD2  20 {1431},15906_AGUAFR 6,CT Old Gas,SRP,Arizona,66,12.47,8.001,12% Summer Deration,30,336,4.08,Agua Fria 6  Glendale AZ,,
Kyrene1,Kyrene1,1,PALOVRD2  20 {1431},15911_KYRENE 1,Steam Small Old,SRP,Arizona,36,10.61,5.001,2.7% Summer Deration,30,336,4.49,,,
Kyrene2,Kyrene2,1,PALOVRD2  20 {1431},15912_KYRENE 2,Steam Small Old,SRP,Arizona,75,10.61,5.001,2.7% Summer Deration,30,336,4.49,,,
KyrenGT4,KyrenGT4,1,PALOVRD2  20 {1431},15914_KYRENE 4,CT Old Gas,SRP,Arizona,52,12.47,8.001,12% Summer Deration,30,336,4.08,,,
KyrenGT5,KyrenGT5,2,PALOVRD2  20 {1431},15915_KYRENE 5,CT Old Gas,SRP,Arizona,50,12.47,8.001,12% Summer Deration,30,336,4.08,,,
KyrenGT6,KyrenGT6,1,PALOVRD2  20 {1431},15916_KYRENE 6,CT Old Gas,SRP,Arizona,50,12.47,8.001,12% Summer Deration,30,336,4.08,,,
KyrenCC1A,KyrenCC1,1,PALOVRD2  20 {1431},15919_KYREN 7A,CC Frame F,SRP,Arizona,246,7.15,2,6.9% Summer Deration,60,504,7.15,,,
Santan 1,Santan 1,1,CORONADO  20 {1131},15921_SANTAN 1,CC Old,SRP,Arizona,90,7.15,5.001,6.9% Summer Deration,78,504,7.15,,,
Santan 2,Santan 2,1,CORONADO  20 {1131},15922_SANTAN 2,CC Old,SRP,Arizona,90,7.15,5.001,6.9% Summer Deration,78,504,7.15,,,
Santan 3,Santan 3,2,CORONADO  20 {1131},15923_SANTAN 3,CC Old,SRP,Arizona,90,7.15,5.001,6.9% Summer Deration,78,504,7.15,,,
Santan 4,Santan 4,2,CORONADO  20 {1131},15924_SANTAN 4,CC Old,SRP,Arizona,90,7.15,5.001,6.9% Summer Deration,78,504,7.15,,,
SantanX5S,SantanX5,3,CORONADO  20 {1131},15926_SANTN 5S,CC Frame F,SRP,Arizona,550,7.15,2,6.9% Summer Deration,25,504,7.15,,,
SantanX6S,SantanX6,2,CORONADO  20 {1131},15930_SANTN 6S,CC Frame F,SRP,Arizona,290,7.15,2,6.9% Summer Deration,53,504,7.15,,,
IrvngGT1,IrvngGT1,1,PALOVRD2  20 {1431},16504_SUNDTCT,CT Old Gas,TEP,Arizona,22,12.47,8.001,12% Summer Deration,30,168,3.74,,,
IrvngGT2,IrvngGT2,2,PALOVRD2  20 {1431},16504_SUNDTCT,CT Old Gas,TEP,Arizona,22,12.47,8.001,12% Summer Deration,30,168,3.74,,,
Irvngtn1,Irvngtn1,1,PALOVRD2  20 {1431},16507_SUNDTGE1,Steam Small Old,TEP,Arizona,73,9.86,5.001,2.7% Summer Deration,30,336,4.49,,,
Irvngtn2,Irvngtn2,1,PALOVRD2  20 {1431},16508_SUNDTGE2,Steam Small Recent,TEP,Arizona,73,9.32,5.001,2.7% Summer Deration,19,336,4.49,,,
Irvngtn3,Irvngtn3,1,PALOVRD2  20 {1431},16509_SUNDTGE3,Steam Large Recent,TEP,Arizona,102,10.34,3.001,2.7% Summer Deration,17,672,9.14,,,
NorthLp1,NorthLp1,1,PALOVRD2  20 {1431},16510_NLOOPCT,CT Old Gas,TEP,Arizona,22,12.47,8.001,12% Summer Deration,30,168,3.74,,,
NorthLp2,NorthLp2,2,PALOVRD2  20 {1431},16510_NLOOPCT,CT Old Gas,TEP,Arizona,22,12.47,8.001,12% Summer Deration,30,168,3.74,,,
NorthLp3,NorthLp3,3,PALOVRD2  20 {1431},16510_NLOOPCT,CT Old Gas,TEP,Arizona,22,12.47,8.001,12% Summer Deration,30,168,3.74,,,
NorthLp4,NorthLp4,4,PALOVRD2  20 {1431},16510_NLOOPCT,CT Old Gas,TEP,Arizona,20,12.47,8.001,12% Summer Deration,30,168,3.74,,,
DMossPtr1,DMossPtr,1,PALOVRD2  20 {1431},16514_DMPCCT#1,CT Small,TEP,Arizona,73,11.79,5.001,12% Summer Deration,45,336,4.08,DeMoss Petrie GT 1,,
ApachGT1,ApachGT1,1,CORONADO  20 {1131},17024_APACHCT1,CT Old Gas,WALC,Arizona,10,12.47,8.001,12% Summer Deration,30,168,5.52,Apache Station GT1  Cochise AZ,,
ApachGT2,ApachGT2,1,CORONADO  20 {1131},17025_APACHCT2,CT Old Oil,WALC,Arizona,20,12.47,8.001,12% Summer Deration,30,168,3.74,Apache Station GT2  Cochise AZ,,
ApachGT3,ApachGT3,1,CORONADO  20 {1131},17026_APACHCT3,CT Old Oil,WALC,Arizona,65,12.47,8.001,12% Summer Deration,30,336,4.08,Apache Station GT3  Cochise AZ,,
ApachCC1A,ApachCC1,1,CORONADO  20 {1131},17028_APACHST1,CC Old,WALC,Arizona,115,7.15,5.001,6.9% Summer Deration,70,504,7.15,Apache Station CC1A  Cochise AZ,,
Clark1,Clark1,1,H ALLEN  20 {1333},18147_CLARK E,Steam Small Old,NEVP,Nevada,42,10.61,5.001,2.7% Summer Deration,30,336,4.49,Clark 1  Las Vegas NV,,
Clark2,Clark2,2,H ALLEN  20 {1333},18147_CLARK E,Steam Small Old,NEVP,Nevada,66,10.61,5.001,2.7% Summer Deration,30,336,4.49,Clark 2  Las Vegas NV,,
Clark3,Clark3,3,H ALLEN  20 {1333},18147_CLARK E,Steam Small Recent,NEVP,Nevada,67,10.61,5.001,2.7% Summer Deration,19,336,4.49,Clark 3  Las Vegas NV,,
ClarkGT4,ClarkGT4,4,H ALLEN  20 {1333},18254_CLARK 4,CT Old Gas,NEVP,Nevada,50,12.47,8.001,12% Summer Deration,30,336,4.08,Clark GT4  Las Vegas NV,,
ClarkCC1C,ClarkCC1,7,H ALLEN  20 {1333},18257_CLARK 7,CC Old,NEVP,Nevada,219,7.15,5.001,6.9% Summer Deration,33,504,7.15,Clark CC1C  Las Vegas NV,,
ClarkCC2C,ClarkCC2,10,H ALLEN  20 {1333},18260_CLARK10,CC Old,NEVP,Nevada,243,7.15,5.001,6.9% Summer Deration,30,504,7.15,Clark CC2C  Las Vegas NV,,
AllenGT1,AllenGT1,1,H ALLEN  20 {1333},18261_HA CT1,CT Large,NEVP,Nevada,72,11.79,5.001,12% Summer Deration,60,336,4.08,Allen GT1  Clark County NV,,
AllenGT2,AllenGT2,,H ALLEN  20 {1333},18261_HA CT1,CT Large,NEVP,Nevada,75,11.79,5.001,12% Summer Deration,60,336,4.08,Allen GT2  Clark Cnty,,
LVCgn2-1,LVCgn2-1,1,H ALLEN  20 {1333},18265_LVCOGEN,CC Recent,NEVP,Nevada,45,7.15,2,6.9% Summer Deration,67,504,7.15,,,
NC1A-NV1,NC1A-NV1,1,H ALLEN  20 {1333},18270_NCA1A,IC,NEVP,Nevada,23,10.12,13.25,2.7% Summer Deration,8,912,3.6,,,
NC1A-NV2,NC1A-NV2,2,H ALLEN  20 {1333},18270_NCA1A,IC,NEVP,Nevada,23,10.12,13.25,2.7% Summer Deration,8,912,3.6,,,
NC1B-NV1,NC1B-NV1,3,H ALLEN  20 {1333},18271_NCA1B,IC,NEVP,Nevada,23,10.12,13.25,2.7% Summer Deration,8,912,3.6,,,
NC1B-NV2,NC1B-NV2,1,H ALLEN  20 {1333},18271_NCA1B,IC,NEVP,Nevada,19.5,10.12,13.25,2.7% Summer Deration,8,912,3.6,,,
NC2A-NVC1,NC2A-NVC,1,H ALLEN  20 {1333},18276_NCA2A,IC,NEVP,Nevada,23,10.12,13.25,2.7% Summer Deration,8,912,3.6,,,
NC2A-NVC2,NC2A-NVC,2,H ALLEN  20 {1333},18276_NCA2A,IC,NEVP,Nevada,23,10.12,13.25,2.7% Summer Deration,8,912,3.6,,,
NC2B-NV1,NC2B-NV1,3,H ALLEN  20 {1333},18277_NCA2B,IC,NEVP,Nevada,23,10.12,13.25,2.7% Summer Deration,8,912,3.6,,,
NC2B-NV2,NC2B-NV2,1,H ALLEN  20 {1333},18277_NCA2B,IC,NEVP,Nevada,19.5,10.12,13.25,2.7% Summer Deration,8,912,3.6,,,
SaguarNV3,SaguarNV,3,H ALLEN  20 {1333},18284_SAGUAR 3,CC Recent,NEVP,Nevada,105,7.15,2,6.9% Summer Deration,71,504,7.15,,,
Sunrise1,Sunrise1,1,H ALLEN  20 {1333},18285_SUNRISE1,Steam Small Recent,NEVP,Nevada,80,9.99,5.001,2.7% Summer Deration,19,336,4.49,,,
Sunrise2,Sunrise2,2,H ALLEN  20 {1333},18286_SUNRISE2,CT Old Gas,NEVP,Nevada,69,12.47,8.001,12% Summer Deration,30,336,4.08,,,
SunPeak1,SunPeak1,3,H ALLEN  20 {1333},18287_SUNRISE3,CT Large,NEVP,Nevada,70,11.79,5.001,12% Summer Deration,60,336,4.08,,,
SunPeak2,SunPeak2,4,H ALLEN  20 {1333},18288_SUNRISE4,CT Large,NEVP,Nevada,70,11.79,5.001,12% Summer Deration,60,336,4.08,,,
SunPeak3,SunPeak3,5,H ALLEN  20 {1333},18289_SUNRISE5,CT Large,NEVP,Nevada,70,11.79,5.001,12% Summer Deration,60,336,4.08,,,
BighornRel3,BighornR,3,H ALLEN  20 {1333},18403_SLHWKG3,CC Frame F,NEVP,Nevada,612,7.15,2,6.9% Summer Deration,30,504,7.15,Bighorn REL 3  Primm  NV,,
BighornRel6,BighornR,6,H ALLEN  20 {1333},18407_BIGHORN3,CC Frame F,NEVP,Nevada,530,7.15,2,6.9% Summer Deration,32,504,7.15,Bighorn REL 6  Primm  NV,,
DK3Moapa,DK3Moapa,1,H ALLEN  20 {1333},18433_LENZIE 3,CC Frame F,NEVP,Nevada,714,7.15,2,6.9% Summer Deration,28,504,7.15,DUKE3 Moapa  Clark County  NV,,
DK6Moapa,DK6Moapa,1,H ALLEN  20 {1333},18436_LENZIE 6,CC Frame F,NEVP,Nevada,714,7.15,2,6.9% Summer Deration,28,504,7.15,DUKE6 Moapa  Clark County  NV,,
Mirant3,Mirant3,1,H ALLEN  20 {1333},18443_MIRANT3,CC Frame F,NEVP,Nevada,636,7.15,2,6.9% Summer Deration,32,504,7.15,,,
MRCHN23C,MRCHN23C,3,H ALLEN  20 {1333},18622_MRCHNT23,CC Frame F,NEVP,Nevada,519,7.15,2,6.9% Summer Deration,31,504,7.15,,,
LsVgsCgI3,LsVgsCgI,3,H ALLEN  20 {1333},18702_LVCOGEN2,CC Frame F,NEVP,Nevada,141,7.15,2,6.9% Summer Deration,40,504,7.15,,,
LsVgsCgII3,LsVgsCgI,13,H ALLEN  20 {1333},18703_LVCOGEN3,CC Frame F,NEVP,Nevada,141,7.15,2,6.9% Summer Deration,40,504,7.15,,,
Douglas1,Douglas1,1,PALOVRD2  20 {1431},19041_PARKER,Steam Small Recent,APS,Arizona,20,10.44,5.001,2.7% Summer Deration,19,912,7.1,Douglas,,
Griffith3,Griffith,3,PALOVRD2  20 {1431},19313_GRIFFTH3,CC Frame F,WALC,Arizona,642,7.48,2,6.9% Summer Deration,33,504,7.15,,,
SouthPnt1,SouthPnt,1,HOOVER   20 {1331},19317_SOPOINT1,CC Frame F,WALC,Arizona,520,7.2,2,6.9% Summer Deration,34,504,7.15,,,
Blythe1,Blythe1,1,PALOVRD2  20 {1431},19322_BLYENG1,CC Frame F,WALC,California,519,7.38,2,6.9% Summer Deration,33,504,7.15,Blythe 1,,
PdtJrz-5,PdtJrz-5,5,MEXICO   20 {2030},20006_PJZ-U5,Steam Large Recent,CFE,Mexico,152,9.79,3.001,2.7% Summer Deration,17,672,9.14,,,
PdtJrz-6,PdtJrz-6,6,MEXICO   20 {2030},20007_PJZ-U6,Steam Large Recent,CFE,Mexico,152,9.79,3.001,2.7% Summer Deration,17,672,9.14,,,
CCCPrsd1,CCCPrsd1,8,MEXICO   20 {2030},20008_PJZ-U8,CC Frame F,CFE,Mexico,253,7.15,2,6.9% Summer Deration,67,504,7.15,CCC Presidente Juarez (Rosarito III) 1,,
CCCPrsd2,CCCPrsd2,9,MEXICO   20 {2030},20009_PJZ-U9,CC Frame F,CFE,Mexico,253,7.15,2,6.9% Summer Deration,67,504,7.15,CCC Presidente Juarez (Rosarito III) 2,,
PdtJrzG1,PdtJrzG1,1,MEXICO   20 {2030},20012_TTI-U1,CT Old Gas,CFE,Mexico,28,12.47,8.001,12% Summer Deration,30,168,3.74,,,
PdtJrzG2,PdtJrzG2,2,MEXICO   20 {2030},20013_TTI-U2,CT Old Gas,CFE,Mexico,28,12.47,8.001,12% Summer Deration,30,168,3.74,,,
PdtJrzG3,PdtJrzG3,7,MEXICO   20 {2030},20014_PJZ-U7,CT Large,CFE,Mexico,152.5,10.58,5.001,12% Summer Deration,60,336,4.08,,,
Cipres1,Cipres1,1,MEXICO   20 {2030},20099_CIP-U1,CT Old Oil,CFE,Mexico,28,12.47,8.001,12% Summer Deration,30,168,3.74,Cipres 1  Ensenada Mexico,,
Cipres2,Cipres2,2,MEXICO   20 {2030},20099_CIP-U1,CT Old Oil,CFE,Mexico,28,12.47,8.001,12% Summer Deration,30,168,3.74,Cipres 2  Ensenada Mexico,,
Mexical1,Mexical1,1,MEXICO   20 {2030},20156_MXI-U1,CT Old Oil,CFE,Mexico,39,12.47,8.001,12% Summer Deration,30,168,3.74,,,
LaRosit3,LaRosit3,3,MEXICO   20 {2030},20189_LRP-U3,CC Frame F,CFE,Mexico,845,7.15,2,6.9% Summer Deration,22,504,7.15,,,
Mexical2,Mexical2,1,MEXICO   20 {2030},20231_MXI-U2,CT Old Oil,CFE,Mexico,22.1,12.47,8.001,12% Summer Deration,30,168,3.74,,,
Mexical3,Mexical3,1,MEXICO   20 {2030},20232_MXI-U3,CT Old Oil,CFE,Mexico,22.1,12.47,8.001,12% Summer Deration,30,168,3.74,,,
LaRosit1,LaRosit1,1,MEXICO   20 {2030},20328_LRP-230,CC Frame F,CFE,Mexico,185.6,7.51,2,6.9% Summer Deration,30,360,5.5,,,
Mecca1,Mecca1,1,IMPERIAL 20 {2130},21013_COLMAC,Other Steam,IID,California,55,12.12,5.001,2.7% Summer Deration,30,912,7.1,,,
