OPR_DT,OPR_HR,OPR_INTERVAL,INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,TRADING_HUB,RENEWABLE_TYPE,LABEL,XML_DATA_ITEM,MARKET_RUN_ID_POS,RENEW_POS,MW,MARKET_RUN_ID,GROUP
2021-07-01,13,0,2021-07-01T19:00:00-00:00,2021-07-01T20:00:00-00:00,SP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,8115.44351,ACTUAL,3
2021-07-01,12,0,2021-07-01T18:00:00-00:00,2021-07-01T19:00:00-00:00,SP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,8034.76747,ACTUAL,3
2021-07-01,23,0,2021-07-02T05:00:00-00:00,2021-07-02T06:00:00-00:00,SP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,1163.52526,ACTUAL,4
2021-07-01,22,0,2021-07-02T04:00:00-00:00,2021-07-02T05:00:00-00:00,SP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,1499.27673,ACTUAL,4
2021-07-01,21,0,2021-07-02T03:00:00-00:00,2021-07-02T04:00:00-00:00,SP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,1457.17511,ACTUAL,4
2021-07-01,20,0,2021-07-02T02:00:00-00:00,2021-07-02T03:00:00-00:00,SP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,1160.13642,ACTUAL,4
2021-07-01,19,0,2021-07-02T01:00:00-00:00,2021-07-02T02:00:00-00:00,SP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,985.17319,ACTUAL,4
2021-07-01,18,0,2021-07-02T00:00:00-00:00,2021-07-02T01:00:00-00:00,SP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,925.56491,ACTUAL,4
2021-07-01,17,0,2021-07-01T23:00:00-00:00,2021-07-02T00:00:00-00:00,SP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,705.74959,ACTUAL,4
2021-07-01,16,0,2021-07-01T22:00:00-00:00,2021-07-01T23:00:00-00:00,SP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,563.83139,ACTUAL,4
2021-07-01,15,0,2021-07-01T21:00:00-00:00,2021-07-01T22:00:00-00:00,SP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,464.90925,ACTUAL,4
2021-07-01,14,0,2021-07-01T20:00:00-00:00,2021-07-01T21:00:00-00:00,SP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,400.4121,ACTUAL,4
2021-07-01,13,0,2021-07-01T19:00:00-00:00,2021-07-01T20:00:00-00:00,SP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,324.7034,ACTUAL,4
2021-07-01,12,0,2021-07-01T18:00:00-00:00,2021-07-01T19:00:00-00:00,SP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,296.89505,ACTUAL,4
2021-07-01,11,0,2021-07-01T17:00:00-00:00,2021-07-01T18:00:00-00:00,SP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,207.07065,ACTUAL,4
2021-07-01,10,0,2021-07-01T16:00:00-00:00,2021-07-01T17:00:00-00:00,SP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,140.10335,ACTUAL,4
2021-07-01,9,0,2021-07-01T15:00:00-00:00,2021-07-01T16:00:00-00:00,SP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,108.52526,ACTUAL,4
2021-07-01,8,0,2021-07-01T14:00:00-00:00,2021-07-01T15:00:00-00:00,SP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,65.64161,ACTUAL,4
2021-07-01,7,0,2021-07-01T13:00:00-00:00,2021-07-01T14:00:00-00:00,SP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,64.47883,ACTUAL,4
2021-07-01,6,0,2021-07-01T12:00:00-00:00,2021-07-01T13:00:00-00:00,SP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,121.72832,ACTUAL,4
2021-07-01,5,0,2021-07-01T11:00:00-00:00,2021-07-01T12:00:00-00:00,SP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,153.4121,ACTUAL,4
2021-07-01,4,0,2021-07-01T10:00:00-00:00,2021-07-01T11:00:00-00:00,SP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,209.39152,ACTUAL,4
2021-07-01,3,0,2021-07-01T09:00:00-00:00,2021-07-01T10:00:00-00:00,SP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,285.0898,ACTUAL,4
2021-07-01,2,0,2021-07-01T08:00:00-00:00,2021-07-01T09:00:00-00:00,SP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,284.27685,ACTUAL,4
2021-07-01,24,0,2021-07-02T06:00:00-00:00,2021-07-02T07:00:00-00:00,SP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,1094.82257,ACTUAL,4
2021-07-01,1,0,2021-07-01T07:00:00-00:00,2021-07-01T08:00:00-00:00,SP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,431.99275,ACTUAL,4
2021-07-01,1,0,2021-07-01T07:00:00-00:00,2021-07-01T08:00:00-00:00,ZP26,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-5.48757,ACTUAL,5
2021-07-01,24,0,2021-07-02T06:00:00-00:00,2021-07-02T07:00:00-00:00,ZP26,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-5.42932,ACTUAL,5
2021-07-01,3,0,2021-07-01T09:00:00-00:00,2021-07-01T10:00:00-00:00,ZP26,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-5.49838,ACTUAL,5
2021-07-01,4,0,2021-07-01T10:00:00-00:00,2021-07-01T11:00:00-00:00,ZP26,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-5.46519,ACTUAL,5
2021-07-01,5,0,2021-07-01T11:00:00-00:00,2021-07-01T12:00:00-00:00,ZP26,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-5.4463,ACTUAL,5
2021-07-01,6,0,2021-07-01T12:00:00-00:00,2021-07-01T13:00:00-00:00,ZP26,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-4.20272,ACTUAL,5
2021-07-01,7,0,2021-07-01T13:00:00-00:00,2021-07-01T14:00:00-00:00,ZP26,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,158.59114,ACTUAL,5
