INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,LOAD_TYPE,OPR_DT,OPR_HR,OPR_INTERVAL,MARKET_RUN_ID,TAC_AREA_NAME,LABEL,XML_DATA_ITEM,POS,MW,EXECUTION_TYPE,GROUP
2021-07-02T05:00:00-00:00,2021-07-02T06:00:00-00:00,0,2021-07-01,23,0,ACTUAL,BANCMID,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,415,ACTUAL,3
2021-07-02T03:00:00-00:00,2021-07-02T04:00:00-00:00,0,2021-07-01,21,0,ACTUAL,BANCMID,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,495,ACTUAL,3
2021-07-01T20:00:00-00:00,2021-07-01T21:00:00-00:00,0,2021-07-01,14,0,ACTUAL,BANCMID,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,466,ACTUAL,3
2021-07-02T01:00:00-00:00,2021-07-02T02:00:00-00:00,0,2021-07-01,19,0,ACTUAL,BANCMID,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,551,ACTUAL,3
2021-07-01T17:00:00-00:00,2021-07-01T18:00:00-00:00,0,2021-07-01,11,0,ACTUAL,BANCMID,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,368,ACTUAL,3
2021-07-01T18:00:00-00:00,2021-07-01T19:00:00-00:00,0,2021-07-01,12,0,ACTUAL,BANCMID,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,395,ACTUAL,3
2021-07-01T22:00:00-00:00,2021-07-01T23:00:00-00:00,0,2021-07-01,16,0,ACTUAL,BANCMID,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,528,ACTUAL,3
2021-07-02T02:00:00-00:00,2021-07-02T03:00:00-00:00,0,2021-07-01,20,0,ACTUAL,BANCMID,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,527,ACTUAL,3
2021-07-01T09:00:00-00:00,2021-07-01T10:00:00-00:00,0,2021-07-01,3,0,ACTUAL,BANCMID,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,293,ACTUAL,3
2021-07-01T23:00:00-00:00,2021-07-02T00:00:00-00:00,0,2021-07-01,17,0,ACTUAL,BANCMID,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,549,ACTUAL,3
2021-07-02T01:00:00-00:00,2021-07-02T02:00:00-00:00,0,2021-07-01,19,0,ACTUAL,BANCRDNG,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,226,ACTUAL,4
2021-07-01T15:00:00-00:00,2021-07-01T16:00:00-00:00,0,2021-07-01,9,0,ACTUAL,BANCRDNG,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,143,ACTUAL,4
2021-07-01T11:00:00-00:00,2021-07-01T12:00:00-00:00,0,2021-07-01,5,0,ACTUAL,BANCRDNG,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,111,ACTUAL,4
